2018-12-28 12:35:58 Debug: Notice (8): Undefined index: prevStock in [E:\xampp\xampp\htdocs\inventory\app\controllers\reports_controller.php, line 38]
2018-12-28 12:35:58 Debug: Notice (8): Undefined index: 42 in [E:\xampp\xampp\htdocs\inventory\app\controllers\reports_controller.php, line 38]
2018-12-28 12:35:58 Debug: Notice (8): Undefined index: total in [E:\xampp\xampp\htdocs\inventory\app\controllers\reports_controller.php, line 38]
2018-12-28 12:35:58 Debug: Notice (8): Undefined index: 46 in [E:\xampp\xampp\htdocs\inventory\app\controllers\reports_controller.php, line 38]
2018-12-28 12:35:58 Debug: Notice (8): Undefined index: total in [E:\xampp\xampp\htdocs\inventory\app\controllers\reports_controller.php, line 38]
2018-12-28 12:46:39 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 420]
2018-12-28 13:23:43 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 420]
2018-12-28 13:32:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 15]
2018-12-28 13:32:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 100]
2018-12-28 13:32:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 103]
2018-12-28 13:32:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 106]
2018-12-28 13:32:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 109]
2018-12-28 13:32:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 112]
2018-12-28 13:32:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 115]
2018-12-28 13:33:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 15]
2018-12-28 13:33:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 100]
2018-12-28 13:33:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 103]
2018-12-28 13:33:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 106]
2018-12-28 13:33:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 109]
2018-12-28 13:33:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 112]
2018-12-28 13:33:14 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 115]
2018-12-28 13:33:39 Debug: Notice (8): Undefined variable: modelfieldsreadOnly in [E:\xampp\xampp\htdocs\inventory\app\views\elements\common\createforms.ctp, line 12]
2018-12-28 13:33:39 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 15]
2018-12-28 13:33:39 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 100]
2018-12-28 13:33:39 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 103]
2018-12-28 13:33:39 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 106]
2018-12-28 13:33:39 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 109]
2018-12-28 13:33:39 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 112]
2018-12-28 13:33:39 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 115]
2018-12-28 13:33:51 Debug: Notice (8): Undefined variable: modelfieldsreadOnly in [E:\xampp\xampp\htdocs\inventory\app\views\elements\common\createforms.ctp, line 12]
2018-12-28 13:33:51 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 15]
2018-12-28 13:33:51 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 100]
2018-12-28 13:33:51 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 103]
2018-12-28 13:33:51 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 106]
2018-12-28 13:33:51 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 109]
2018-12-28 13:33:51 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 112]
2018-12-28 13:33:51 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 115]
2018-12-28 13:34:28 Debug: Notice (8): Undefined variable: modelfieldsreadOnly in [E:\xampp\xampp\htdocs\inventory\app\views\elements\common\createforms.ctp, line 12]
2018-12-28 13:34:28 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 15]
2018-12-28 13:34:28 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 100]
2018-12-28 13:34:28 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 103]
2018-12-28 13:34:28 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 106]
2018-12-28 13:34:28 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 109]
2018-12-28 13:34:28 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 112]
2018-12-28 13:34:28 Debug: Notice (8): Undefined index: prefix in [E:\xampp\xampp\htdocs\inventory\app\views\elements\onlayout\menubar.ctp, line 115]
2018-12-28 13:35:31 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 420]
2018-12-28 13:38:17 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:39:14 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:40:53 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:41:44 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:42:03 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:42:06 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:42:11 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:42:34 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:42:41 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:42:48 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:43:08 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:43:16 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:48:21 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:51:43 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
2018-12-28 13:57:50 Debug: Notice (8): Undefined variable: fields in [E:\xampp\xampp\htdocs\inventory\app\controllers\common_controller.php, line 38]
2018-12-28 13:57:50 Debug: Notice (8): Undefined property: CommonController::$Role in [E:\xampp\xampp\htdocs\inventory\app\controllers\common_controller.php, line 39]
2018-12-28 13:59:58 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 130]
2018-12-28 13:59:58 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 171]
2018-12-28 13:59:58 Debug: Notice (8): Undefined index: discount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 172]
2018-12-28 13:59:58 Debug: Notice (8): Undefined index: interest in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 173]
2018-12-28 13:59:58 Debug: Notice (8): Undefined index: 1 in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 152]
2018-12-28 14:00:17 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 130]
2018-12-28 14:00:17 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 171]
2018-12-28 14:00:17 Debug: Notice (8): Undefined index: discount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 172]
2018-12-28 14:00:17 Debug: Notice (8): Undefined index: interest in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 173]
2018-12-28 14:00:17 Debug: Notice (8): Undefined index: 1 in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 152]
2018-12-28 14:00:36 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 130]
2018-12-28 14:00:36 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 171]
2018-12-28 14:00:36 Debug: Notice (8): Undefined index: discount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 172]
2018-12-28 14:00:36 Debug: Notice (8): Undefined index: interest in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 173]
2018-12-28 14:00:36 Debug: Notice (8): Undefined index: 1 in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 152]
2018-12-28 14:01:43 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 130]
2018-12-28 14:01:43 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 171]
2018-12-28 14:01:43 Debug: Notice (8): Undefined index: discount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 172]
2018-12-28 14:01:43 Debug: Notice (8): Undefined index: interest in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 173]
2018-12-28 14:01:43 Debug: Notice (8): Undefined index: 1 in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 152]
2018-12-28 14:02:35 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 130]
2018-12-28 14:02:35 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 171]
2018-12-28 14:02:35 Debug: Notice (8): Undefined index: discount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 172]
2018-12-28 14:02:35 Debug: Notice (8): Undefined index: interest in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 173]
2018-12-28 14:02:35 Debug: Notice (8): Undefined index: 1 in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 152]
2018-12-28 14:02:36 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 130]
2018-12-28 14:02:36 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 171]
2018-12-28 14:02:36 Debug: Notice (8): Undefined index: discount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 172]
2018-12-28 14:02:36 Debug: Notice (8): Undefined index: interest in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 173]
2018-12-28 14:02:36 Debug: Notice (8): Undefined index: 1 in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 152]
2018-12-28 14:02:51 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 130]
2018-12-28 14:02:51 Debug: Notice (8): Undefined index: payment_amount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 171]
2018-12-28 14:02:51 Debug: Notice (8): Undefined index: discount in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 172]
2018-12-28 14:02:51 Debug: Notice (8): Undefined index: interest in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 173]
2018-12-28 14:02:51 Debug: Notice (8): Undefined index: 1 in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 152]
2018-12-28 14:03:51 Debug: Notice (8): Undefined index: print in [E:\xampp\xampp\htdocs\inventory\app\controllers\account_transactions_controller.php, line 428]
